iter	Passed	Remaining
1244	20021	5708
1245	20036	5692
1246	20052	5676
1247	20068	5660
1248	20084	5644
1249	20099	5627
1250	20122	5613
1251	20141	5598
1252	20162	5583
1253	20181	5568
1254	20200	5553
1255	20218	5537
1256	20234	5521
1257	20250	5505
1258	20265	5489
1259	20281	5472
1260	20298	5456
1261	20314	5440
1262	20332	5425
1263	20348	5409
1264	20363	5392
1265	20380	5376
1266	20396	5360
1267	20411	5344
1268	20428	5328
1269	20445	5312
1270	20461	5296
1271	20477	5280
1272	20494	5264
1273	20510	5248
1274	20526	5232
1275	20542	5216
1276	20558	5200
1277	20574	5183
1278	20591	5167
1279	20608	5152
1280	20624	5136
1281	20641	5120
1282	20657	5104
1283	20673	5087
1284	20689	5071
1285	20705	5055
1286	20721	5039
1287	20740	5024
1288	20756	5007
1289	20771	4991
1290	20787	4975
1291	20803	4959
1292	20819	4943
1293	20835	4927
1294	20853	4911
1295	20870	4895
1296	20888	4879
1297	20904	4863
1298	20919	4847
1299	20935	4831
1300	20951	4815
1301	20967	4799
1302	20983	4782
1303	20999	4766
1304	21015	4750
1305	21031	4734
1306	21047	4718
1307	21063	4702
1308	21079	4686
1309	21096	4670
1310	21112	4654
1311	21128	4638
1312	21144	4621
1313	21160	4605
1314	21176	4589
1315	21192	4573
1316	21211	4557
1317	21230	4542
1318	21247	4526
1319	21264	4510
1320	21280	4494
1321	21296	4478
1322	21312	4462
1323	21329	4446
1324	21344	4430
1325	21360	4413
1326	21376	4397
1327	21392	4381
1328	21407	4365
1329	21423	4349
1330	21440	4333
1331	21455	4316
1332	21470	4300
1333	21486	4284
1334	21502	4268
1335	21518	4252
1336	21534	4236
1337	21550	4219
1338	21566	4203
1339	21583	4187
1340	21598	4171
1341	21615	4155
1342	21631	4139
1343	21647	4123
1344	21663	4107
1345	21678	4090
1346	21695	4074
1347	21711	4058
1348	21726	4042
1349	21742	4026
1350	21758	4010
1351	21773	3994
1352	21789	3977
1353	21806	3961
1354	21822	3945
1355	21838	3929
1356	21854	3913
1357	21870	3897
1358	21888	3881
1359	21904	3865
1360	21919	3849
1361	21935	3833
1362	21951	3817
1363	21967	3800
1364	21983	3784
1365	22000	3768
1366	22016	3752
1367	22033	3736
1368	22049	3720
1369	22065	3704
1370	22081	3688
1371	22097	3672
1372	22113	3656
1373	22129	3639
1374	22145	3623
1375	22161	3607
1376	22178	3591
1377	22194	3575
1378	22210	3559
1379	22226	3543
1380	22242	3527
1381	22258	3511
1382	22293	3498
1383	22312	3482
1384	22328	3466
1385	22343	3449
1386	22358	3433
1387	22374	3417
1388	22390	3401
1389	22406	3385
1390	22423	3369
1391	22439	3353
1392	22455	3336
1393	22470	3320
1394	22486	3304
1395	22502	3288
1396	22518	3272
1397	22534	3256
1398	22550	3239
1399	22566	3223
1400	22583	3207
1401	22598	3191
1402	22614	3175
1403	22630	3159
1404	22645	3143
1405	22661	3126
1406	22677	3110
1407	22694	3094
1408	22710	3078
1409	22727	3062
1410	22743	3046
1411	22758	3030
1412	22774	3014
1413	22790	2997
1414	22805	2981
1415	22821	2965
1416	22838	2949
1417	22855	2933
1418	22871	2917
1419	22888	2901
1420	22903	2885
1421	22918	2868
1422	22935	2852
1423	22950	2836
1424	22965	2820
1425	22982	2804
1426	22997	2788
1427	23012	2771
1428	23029	2755
1429	23045	2739
1430	23061	2723
1431	23076	2707
1432	23092	2691
1433	23108	2674
1434	23124	2658
1435	23140	2642
1436	23156	2626
1437	23173	2610
1438	23189	2594
1439	23205	2578
1440	23221	2562
1441	23237	2546
1442	23253	2530
1443	23269	2513
1444	23285	2497
1445	23301	2481
1446	23317	2465
1447	23335	2449
1448	23351	2433
1449	23367	2417
1450	23383	2401
1451	23398	2385
1452	23414	2368
1453	23430	2352
1454	23447	2336
1455	23463	2320
1456	23479	2304
1457	23495	2288
1458	23511	2272
1459	23527	2256
1460	23543	2239
1461	23559	2223
1462	23575	2207
1463	23591	2191
1464	23607	2175
1465	23623	2159
1466	23638	2143
1467	23654	2126
1468	23670	2110
1469	23685	2094
1470	23701	2078
1471	23718	2062
1472	23734	2046
1473	23750	2030
1474	23766	2014
1475	23781	1997
1476	23797	1981
1477	23813	1965
1478	23829	1949
1479	23845	1933
1480	23861	1917
1481	23878	1901
1482	23894	1885
1483	23910	1869
1484	23927	1852
1485	23942	1836
1486	23959	1820
1487	23975	1804
1488	23991	1788
1489	24007	1772
1490	24024	1756
1491	24040	1740
1492	24055	1724
1493	24071	1707
1494	24087	1691
1495	24103	1675
1496	24120	1659
1497	24136	1643
1498	24151	1627
1499	24168	1611
1500	24184	1595
1501	24200	1579
1502	24216	1562
1503	24233	1546
1504	24251	1530
1505	24267	1514
1506	24284	1498
1507	24299	1482
1508	24315	1466
1509	24333	1450
1510	24348	1434
1511	24365	1418
1512	24381	1401
1513	24397	1385
1514	24413	1369
1515	24430	1353
1516	24446	1337
1517	24462	1321
1518	24478	1305
1519	24494	1289
1520	24510	1273
1521	24526	1256
1522	24542	1240
1523	24558	1224
1524	24574	1208
1525	24590	1192
